customer_text,actual_brand_reply,draft_intent,your_intent,your_escalate_decision,notes
@XboxSupport why does my Xbox keep freezing my games,"@488205 Hi there, if your games on Xbox One are freezing, please try these steps: https://t.co/ouleFx48g2 . ^ZM",game_app_crash,,,
"@XboxSupport redeemed a game code via xbox app, said it was good and would dl to home console game isn’t in my list not in dl list and code is used wtf?","@668922 Hello, thanks for reaching out to us. Can you DM us your gamertag and which game this is for? ^CO",purchase_store,,,
@XboxSupport Will have to do this tomorrow as I'm sick as a dog.,"@377925 Alright, get well soon and have a good night!  ^BL",noise_other,,,
@129141 They didnt fix the servers on xbox one 😠😠😠😠,@240391 Official Xbox Support here. Are you still seeing this? If so could you tweet us more details? We'd love to help. ^IS,network_service,,,
"@XboxSupport I get this message when I want to purchase a game in the store, any suggestions? https://t.co/UERuOdVoSj",@514975 Hi there! Let's try a full power cycle of the console and check again: https://t.co/QENEhDawC3  ^BL,purchase_store,,,
@XboxSupport @ATVIAssist Hello? Can someone please respond? #XboxHelp I own the game but can’t play it. How can I get my money back ???,"@669109 Hey there, what is the status of the purchase here: https://t.co/hLdh6O4RFD ^XS",billing_subscription,,,
@XboxSupport Can you fix the glitch in the update where you cannot click buttons and therefore can not leave a party?,"@237624 Hey there! We'd like to DM so we can collect more info, let us know when you're Following us? https://t.co/FIM7KsmdfD  ^FH",game_app_crash,,,
@XboxSupport It should ignore this setting by default when watching tv through the pass through..,"@820070 Just to clarify, do you currently have this setting turned off?  ^JA",howto_general,,,
@XboxSupport Ok thanks. The game it’s self isn’t loading up even though the disc is in the console,@500471 When looking at the Home screen on the console doe that disc appear or a blank disc appears in the row of tabs? ^JL,game_app_crash,,,
@XboxSupport I got a question,"@455069 Do you have an Xbox Support question for us? If so, can you DM us your Gamertag and what's going on so we can assist? ^BZ",noise_other,,,
@XboxSupport don't think thats how you spell it https://t.co/IGG7SoKoNz,@796646 Hey there! Mind sending us a direct message https://t.co/nPX1yNXCi5 with your Gamertag so we can further assist?  ^JA,noise_other,,,
@XboxSupport Im experiencing some type of bofa error,@472729 Hi again! Mind sending us a direct message https://t.co/nPX1yNXCi5 with your Gamertag so we can further assist?  ^JA,noise_other,,,
@XboxSupport I would also like Edge fixed. It used to not be a problem before the recent update to the Xbox OS.,@333622 Would you mind letting us know what is going on with the app exactly?  ^RR,game_app_crash,,,
@XboxSupport Power strip and in an open space,@198241 Thanks for that! We recommend plugging the console directly into a wall outlet since it has a built-in power supply.   ^RR,noise_other,,,
@XboxSupport Cheers I’ll give it ago,@194265 HI again! We just wanted to check with you to see if these steps helped to resolve this issue. 1/2 ^JA,noise_other,,,
@XboxSupport It shows me connected to Wi-Fi but won't connect to Xbox Live to download my digital purchases or message anyone on my friend's list. Also: https://t.co/jk7okxbP6O,@289981 your patience as our teams are currently looking into this issue. Stay updated here: https://t.co/dG2dbIAHPz  2 ^CO,network_service,,,
@XboxSupport Mine is.,"@251869 Let's have you try reaching out to chat: https://t.co/aWWrMN54Vu support as they will be better equipped to assist you further.
 ^RR",noise_other,,,
@XboxSupport check your DM'S plz,"@335093 Hey there, let's try removing the profile then adding it back using the steps outlined here: https://t.co/dVcem36rc1 ^XS",noise_other,,,
@XboxSupport You guys did me a solid a few months ago when I purchased what I thought was forza 6 in a Gold deal but was only add on packs. I did not know till way past the 2 day refund window,@771790 Glad we were able to get you taken care of! Do let us know if you need help troubleshooting anything in the future.  ^JL,billing_subscription,,,
Ajuda Ae Quero resgatar esse código mas sempre aparece isso @166780 @185162 @XboxSupport https://t.co/5avmFIoZGX,@336900 Hi there! Let's be sure to work through all the steps here: https://t.co/68OMKgqFqa ^BL,purchase_store,,,
@XboxSupport I'm looking for a license or permission to build a warthog that falls outside the Game Content Usage Rules. Who do I talk to?,@130628 Hi there. That's not something we would have much insight into here. You can check here:  1 ^BZ,howto_general,,,
@458574 It sucks so much to much time wasted and to complicated,"@619708 Hello, thanks for reaching out to us. Once your console is updated, you cannot remove the update. ^CO",noise_other,,,
@XboxSupport That's unfortunate. There are a lot of people who use Kinect and I'm one of them.,@197497 Totally understand the frustration regarding this! However we wouldn't be able to speculate on why this was removed. 1/2 ^TJ,noise_other,,,
When will the servers be back up? @XboxSupport,@291571 Heya! Let's power down the console and unplug it for about 30 seconds then reboot and try again. ^JL,network_service,,,
"@XboxSupport I guess this is why Xbox switched to Bluetooth.  It ruins multiplayer experience with constant disconnects.  Not fun, not an easy fix.",@363683 Are you having the same issues with multiple controllers?  ^JL,network_service,,,
"How, sway?! #NoGlitching #FuckThat #ImSnitching @115786 @117044 this isn’t right https://t.co/HEdSzyZbz8","@381007 Want to know how to report users on Xbox Live? Official Xbox Support here, send us a tweet and we can help. 
 ^RR",noise_other,,,
@120009 That's the first thing I checked,@120007 Hi there! Have you tried resetting you router/modem and then power cycle: https://t.co/QENEhDawC3  ^JA,noise_other,,,
@XboxSupport Why have you replied to others who only reported issues much more recently than I did?,@251523 Hi there! Do you mind DM'ing us your Gamertag so we can gather a bit of info?  ^JL,noise_other,,,
"@XboxSupport Already did all that, I just wanna get more info of his actions to you folks. Looks like they were using destruction v1.","@503067 Don't worry, our enforcement team has everything they need if someone is reported. Thank you! ^CO",enforcement_ban,,,
@XboxSupport And before you ask my internet is doing just fine,"@664063 Hey, could you direct message us and explain in detail what issue you are experiencing?
 ^RM",network_service,,,
@178026 @115890 @XboxSupport this is a joke. I just bought a 12 month live sub and my account won't access my franchise mode,"@463169 Hey, would you like to direct message us and explain what issue you are experiencing? ^RM",billing_subscription,,,
@XboxSupport I don't have a gamertag i wanted to buy it for Windows 10.,"@433531 Hmm, what is the account name that you see when you sign into the Xbox app on your Windows 10 PC? ^EZ",howto_general,,,
@115786 @XboxSupport I filed a review but nobody has checked it in 10 hours. I get banned for no reason and this is what I get in return?,@209081 Hi there! We are a separate team from Enforcement so we would not be able to speculate. We'd recommend continuing to keep an eye on the status of your case review here: https://t.co/U1yn6tCbse ^JA,enforcement_ban,,,
😫 @XboxSupport pls help https://t.co/VZcMut1GCG,"@130207 Hello, thanks for reaching out to us. Can you DM us your gamertag and let us know if you're using an external drive? ^CO",noise_other,,,
@XboxSupport Hey! J’ai acheté Batman: Return To Arkham hier. Les jeux fait que de crasher quand je le lance sur ma Xbox One X,"@232177 Hello there! We are an English only support channel, if you are able to translate for us we would be more than  1 ^XS",game_app_crash,,,
@XboxSupport so can you please help me https://t.co/4IWhK9wTw9,@805491 Hi there. Not quite sure we understand. Can you DM us your Gamertag and clarify what it is exactly you're trying to do? ^BZ,noise_other,,,
@XboxSupport please someone help quick my Xbox is making a really weird noise idk what to do,"@649636 is making and if possible, what part of the console is making the noise?  2 ^RM",hardware_issue,,,
@117353 Fix lag on Xbox please!,"@741195 Experiencing lag in your game? Official Xbox Support here, send us a tweet and we can help.  
 ^RR",network_service,,,
@769333 @XboxSupport Nice one ill try that. Thought I might have to call   in the ghostbusters 😂,"@769332 to one, it can cause this issue. We would recommend plugging it directly into the wall. https://t.co/nflNKVHhMm  2 ^XS",noise_other,,,
@XboxSupport I just reported a blatant griefer on both rainbow six siege and fortnite with video proof for both. I'm sure they still terrorizing lobbies and talking mad shit as I type this. You only ban folks for cussing so suck a dick you're support team is ass🖕🏿,@792394 Hi there! We're not responsible for any suspensions here at Support; if you've  1 ^QZ,enforcement_ban,,,
@XboxSupport Why does my xbox not download games? its brand-new🤷🏽‍♂️,@172930 Hello! Would you mind following us and sending a DM when you are so we can gather more info?  ^RR,game_app_crash,,,
@XboxSupport it’s says my connections good &amp; that it’s on Xbox lives end But the websites says everything’s fine It keeps logging me out too,"@533729 Hi there! We'd be happy to help with this. Could you follow us back &amp; DM your GamerTag when you get a chance? 
 ^TJ",network_service,,,
@XboxSupport Yet you don’t communicate with them. Infact apparently no one at xbox does,"@308960 Hi there! Did you have a question regarding a current suspension? If so, DM us your gamertag and more details and we can take a look.  ^QZ",noise_other,,,
@XboxSupport I need some help.,@673368 Heyo! We'd like to Direct Message so we can collect some more information. Can you follow and  1 ^BZ,noise_other,,,
"@XboxSupport your marketplace is terrible,you charged me for a game and its not even in my ready to install. Its gone!",@479872 Hi there! Let's try a full power cycle: https://t.co/QENEhDawC3 then check again for the game.  ^BL,purchase_store,,,
"@XboxSupport Hello, if I preorder a game and don't get the bonuses is that on your end, or the game developers?","@486897 Just to clarify, what game are you referring to and what retailer did you buy it from? ^JS",howto_general,,,
"@XboxSupport Thanks guys but I’ve already DLed some of them, but some don’t show, like AC Origins, which is def. out! :(",@292497 Sorry to hear! Can you DM us a picture of where it's missing from? https://t.co/nPX1yNXCi5  ^QZ,purchase_store,,,
@XboxSupport why is it that you won’t update us on what is going on with WW2,"@280020 Heya! Activision is working on updates for the servers, be sure to check: https://t.co/hHwSDDIDU9 for updates. ^JL",howto_general,,,
@XboxSupport My monthly gamerscore isn't registering on the Xbox One Friends leaderboard. It says I've earned 0 &amp; that's not the case at all,@205614 Hi there! Can you DM us your Gamertag and photo of your Gamerscore on your profile and the leaderboard?  ^JL,achievements_rewards,,,
"@80492 on Xbox the daily rewards is glitched, got to day 5 then the next day went back to day one, please fix this","@607510 Hi, could you direct message us and explain what issue you experienced? ^RM",achievements_rewards,,,
@XboxSupport live down right now?,"@754550 Hello! Everything is up on our end. What is going on, on your end exactly?  ^RR",network_service,,,
@XboxSupport @ATVIAssist Still having issues.......this is ridiculous.,"@487880 Hi there, we're afraid we have a service alert up for COD WWII here: https://t.co/dG2dbIAHPz  1 ^ZM",network_service,,,
@178902 I had sim city. I need to find some games. For my Xbox too. I might try mafia.,@178901 Official Xbox Support here. Mafia is so much fun. If you ever have Xbox questions feel free to let us know. ^IS,noise_other,,,
@XboxSupport not sure what's up but my one said won't display in 4k on my 4k TV. When I switch setting just says that didn't work. So what might be the issue?,"@217746 Hi, have you tried using these troubleshooting steps on issues with 4K. https://t.co/ZD0hXh8LMU ^RM",hardware_issue,,,
@XboxSupport @117347 💔💔💔😔😔😔 Just when I thought Forza had permanently replaced Gran Turismo in my heart.... This happens.,"@180663 Hello! Xbox Live Services are currently experiencing issues. You can stay up to date here: https://t.co/NSXOiTMoQ9 
 ^RR",game_app_crash,,,
@XboxSupport can you guys help me I'm experiencing problem with the pre order WWE 2k18 and it says it was declined or refunded https://t.co/WBsEnw4BZO,"@315418 Hey there, can you please follow then DM us your Gamertag so that we can collect some more information from you? ^XS",purchase_store,,,
@XboxSupport It doesn't show up in Purchase history but does show up in Order History. However Purchase History seems to load sporadically,"@520608 To check, did you purchase that DLC on your account? If you sign into  1 ^BZ",purchase_store,,,
I sent my Xbox in for warranty repair on the 13th of September....still haven't gotten it back ....@XboxSupport,@168285 repair? That would be the best course of action for updates on your console status.  2 ^JL,hardware_issue,,,
@XboxSupport Hey I need help. Sent a DM. Thanks!,"@212990 Hey there, can you please follow then DM us your Gamertag so that we can collect some more information from you? ^XS",noise_other,,,
